env,algo,K,seed,mean_return,best_return,timestamp
Pendulum-v1,soar_f_irl,1,0,-1559.5591046380712,-1085.7424829936228,2026-05-13T17:31:06.889498
Pendulum-v1,soar_f_irl,1,1,-1385.562862088049,-871.6380864363866,2026-05-13T17:59:02.602184
CartPole-v1,soar_f_irl,1,0,24.7,134.0,2026-05-13T18:01:07.814146
CartPole-v1,soar_f_irl,1,1,45.9,120.05,2026-05-13T18:11:29.350288
CartPole-v1,soar_f_irl,1,2,65.15,86.35,2026-05-13T18:20:45.162432
Pendulum-v1,soar_f_irl,1,2,-692.7145983455665,-211.93516325517558,2026-05-13T18:28:34.397621
CartPole-v1,soar_f_irl,5,0,8.85,127.4,2026-05-13T18:30:10.480474
CartPole-v1,soar_f_irl,5,1,9.8,310.85,2026-05-13T18:40:25.792857
CartPole-v1,soar_f_irl,5,2,13.45,214.15,2026-05-13T18:50:25.958203
Pendulum-v1,soar_f_irl,5,0,-301.2281066541551,-232.3556942888769,2026-05-13T18:59:01.166626
CartPole-v1,soar_f_irl,20,0,16.2,133.75,2026-05-13T19:00:41.927228
CartPole-v1,soar_f_irl,20,1,16.35,208.25,2026-05-13T19:11:14.937505
CartPole-v1,soar_f_irl,20,2,102.5,134.9,2026-05-13T19:22:02.281953
Pendulum-v1,soar_f_irl,5,1,-346.6940625691442,-346.6940625691442,2026-05-13T19:29:14.774880
CartPole-v1,soar_f_irl,100,0,14.35,151.25,2026-05-13T19:32:17.454339
CartPole-v1,soar_f_irl,100,1,16.5,201.4,2026-05-13T19:42:39.232263
CartPole-v1,soar_f_irl,100,2,9.3,135.0,2026-05-13T19:53:22.486745
Pendulum-v1,soar_f_irl,5,2,-1662.0021886810434,-1245.0448446271496,2026-05-13T19:59:15.706583
Pendulum-v1,soar_f_irl,20,0,-1176.3254435630854,-241.31459949291622,2026-05-13T20:29:18.810102
Pendulum-v1,soar_f_irl,20,1,-189.57593668183355,-189.57593668183355,2026-05-13T20:57:25.005776
Pendulum-v1,soar_f_irl,20,2,-1797.3714260101024,-1385.0486368555362,2026-05-13T21:27:52.096730
Pendulum-v1,soar_f_irl,100,0,-1789.1689119769958,-1352.9453670375435,2026-05-13T21:56:59.052538
Pendulum-v1,soar_f_irl,100,1,-1860.1481150393108,-1256.2298641821612,2026-05-13T22:27:05.128411
Pendulum-v1,soar_f_irl,100,2,-1743.542400797997,-1360.8323340072156,2026-05-13T22:56:45.539485
